UID,Treatment,ndvi_Kharif_target,dist_closest_lin,dist_closest_river,dist_closest_upstream_forest,elevation,slope,proximity_water,HSG_3,HSG_4,HSG_13,HSG_14,CEC,pH,OC,flow_accumulation,precip_targetyr_Kharif,frequency,lat,lon,geometry,check_dam,distance_to_canal,mean_stream_order
19927.0,0.0,0.2016921443244653,6132.678203784369,2375.8975990744893,343.341687542158,195.75471487557192,2.76797563358418,129.99706744868035,1.0,0.0,0.0,0.0,6.0,6.300000190734863,0.5299999713897705,668.0,557.6515270906718,0.0,24.380770884410083,84.78447873541924,POINT (84.78447873541924 24.380770884410083),0.0,0.0071622204143462695,1.8381395348837213
18585.0,0.0,0.2268581122578611,6521.971365230884,599.6379086387944,284.05995531274783,185.71248465915423,3.0941324915774726,32.841642228739005,1.0,0.0,0.0,0.0,6.0,6.300000190734863,0.5299999713897705,13.0,453.8514503492332,0.0,24.40475590249608,84.81816555857372,POINT (84.81816555857372 24.40475590249608),0.0,0.009099390104626015,2.9225999793324378
18297.0,0.0,0.2391701054502034,5612.878196429103,2923.836870701947,0.0,197.79609375,2.611329945043795,11.129032258064516,0.0,0.0,1.0,0.0,6.0,6.300000190734863,0.5299999713897705,1069.0,740.164398082453,0.0,24.370799584756355,84.83864714705165,POINT (84.83864714705165 24.370799584756355),0.0,0.001309702227466182,2.0
19072.0,0.0,0.1880082304830129,4699.919314103385,2596.29089635582,39.26659125259834,202.62243303571427,2.1088377254882027,1.774193548387097,1.0,0.0,0.0,0.0,6.0,6.300000190734863,0.5299999713897705,1.0,453.8514503492332,0.0,24.35489940422744,84.82759786905699,POINT (84.82759786905699 24.35489940422744),0.0,0.012976236373317714,3.0
19646.0,0.0,0.2514181872582209,5737.077694578732,1618.1140018192143,0.0,196.38013392857144,2.829074550094083,4.844574780058652,1.0,0.0,0.0,0.0,6.0,6.300000190734863,0.5299999713897705,1.0,557.6515270906718,0.0,24.363792725540225,84.82274696652273,POINT (84.82274696652273 24.363792725540225),0.0,0.016818379952580436,1.0669010443594253
3423.0,1.0,0.2046395932586911,3114.751391007507,397.0292270972723,60.60889716475086,412.4369690791708,2.863773466378486,1.3489736070381233,0.0,0.0,1.0,0.0,4.5,6.300000190734863,0.747499942779541,8.0,667.8344771906671,0.0,22.67523785383979,84.2811479559047,POINT (84.2811479559047 22.67523785383979),0.0,0.1263875456243006,1.1632460732984293
3195.0,1.0,0.2332882812187197,2602.621202561648,598.6906884051962,74.91682109314728,262.1118047673099,2.7634190276315893,0.903225806451613,1.0,0.0,0.0,0.0,6.0,6.300000190734863,0.5299999713897705,4.0,714.7705722671049,0.0,22.409849995542903,84.35342998398106,POINT (84.35342998398106 22.409849995542903),0.0,0.19878926729243981,1.0
2267.0,1.0,0.2100771763565929,3836.0783871546496,1896.6363539289937,9.56464197440933,530.8808611361586,2.79609536213634,0.4838709677419355,1.0,0.0,0.0,0.0,6.0,6.300000190734863,0.5299999713897705,1.0,661.834115781718,0.0,23.209629901387903,82.81167349924688,POINT (82.81167349924688 23.209629901387903),0.0,0.15680643517246964,2.931678314384062
3059.0,1.0,0.264391912067275,398.4373826592964,144.45334457452887,47.80041111725416,619.6791263229001,3.168878354747884,2.609970674486804,1.0,0.0,0.0,0.0,8.0,4.900000095367432,0.9900000095367432,5.0,646.1072113109202,0.0,23.339590401590584,84.62259915997126,POINT (84.62259915997126 23.339590401590584),0.0,0.016389732143710745,3.0
21295.0,0.0,0.2412099793537293,1514.8773735953844,1840.0861318520097,101.2614273592734,271.99575703439035,2.226062115506435,4.020527859237537,1.0,0.0,0.0,0.0,6.0,6.300000190734863,0.5299999713897705,1.0,453.8514503492332,0.0,24.29183767128225,84.62547693013009,POINT (84.62547693013009 24.29183767128225),0.0,0.18886284204303935,1.0
20221.0,0.0,0.3457088316148266,1189.308209152456,1153.1972291898585,379.5998225349357,276.7220236765692,2.9593984141316776,6.275659824046921,1.0,0.0,0.0,0.0,6.0,6.300000190734863,0.5299999713897705,1.0,557.6515270906718,0.0,24.29399362796413,84.61523613589112,POINT (84.61523613589112 24.29399362796413),0.0,0.19677570281701484,1.0
2799.0,1.0,0.2270246415076314,3870.8256114248416,69.43010955218503,218.1030199928857,641.3722734427703,2.01496561814861,16.65102639296188,1.0,0.0,0.0,0.0,8.0,4.900000095367432,0.9900000095367432,92.0,646.1072113109202,0.0,23.476034434724973,84.77318300254613,POINT (84.77318300254613 23.476034434724973),0.0,0.00510633381212936,3.7393749999999994
